
2026-06-19,18:16,137763658,4155.53,63095,1272139
2026-06-19,19:16,137763658,4155.53,62994,1272144
2026-06-19,20:56,137763658,4155.53,63128,1272153
2026-06-19,20:57,137763658,4155.53,63140,1272182
2026-06-19,23:53,137763658,4155.53,63254,1272247
2026-06-20,10:20,137763658,4155.53,63649,1357619
2026-06-20,16:06,137763658,4155.53,63956,1357571
2026-06-20,20:55,137763658,4155.53,63843,1357392
2026-06-20,20:59,137763658,4155.53,63847,1357451
2026-06-21,10:48,137763658,4155.53,64292,1226478
